"name","year","undergraduate_enrollment","tuition_and_fees_2018_19","institution_size_category","level_of_institution","degree_of_urbanization_urban_centric_locale","mean_enrollment","mean_african_american","mean_asian","mean_hispanic","mean_white","mean_women","mean_admitted","quantiles_women","quantiles_admission"
"Georgia State University",2014,25328,NA,"20,000 and above","Four or more years","City",25088.8888888889,39.8888888888889,11.8888888888889,9.11111111111111,29.6666666666667,59,58.4444444444444,"50 to 74%","50 to 74%"
"Herzing University-Atlanta",2014,341,NA,"Under 1,000","Four or more years","City",511.222222222222,72.3333333333333,8,3.77777777777778,7.88888888888889,66,88.4444444444444,"50 to 74%","75 to 100%"
"Savannah State University",2014,4769,NA,"1,000 - 4,999","Four or more years","City",4406.88888888889,85.7777777777778,0,4.33333333333333,4.22222222222222,57,65.7142857142857,"50 to 74%","75 to 100%"
"Spelman College",2014,2135,NA,"1,000 - 4,999","Four or more years","City",2148.11111111111,89.8888888888889,0,0,0,100,41.1111111111111,"75 to 100%","50 to 74%"
"Valdosta State University",2014,9328,NA,"10,000 - 19,999","Four or more years","City",9545.77777777778,35.8888888888889,1,4.88888888888889,51.4444444444444,60,61,"50 to 74%","50 to 74%"
"Blackburn College",2014,585,NA,"Under 1,000","Four or more years","Town",569.111111111111,10.3333333333333,0.666666666666667,2.22222222222222,81.6666666666667,57,59.8888888888889,"50 to 74%","50 to 74%"
"Bradley University",2014,4588,NA,"5,000 - 9,999","Four or more years","City",4719.44444444444,6.22222222222222,3.22222222222222,6.66666666666667,71.3333333333333,52,67.7777777777778,"50 to 74%","50 to 74%"
"Lewis University",2014,4752,NA,"5,000 - 9,999","Four or more years","Suburb",4526.33333333333,7.11111111111111,3.55555555555556,17.4444444444444,62.5555555555556,55,59.7777777777778,"50 to 74%","50 to 74%"
"National Louis University",2014,1341,NA,"1,000 - 4,999","Four or more years","City",1636.11111111111,33.5555555555556,2.11111111111111,28.8888888888889,24.1111111111111,76,83.6666666666667,"75 to 100%","75 to 100%"
"Northwestern University",2014,9048,NA,"20,000 and above","Four or more years","City",9075.55555555555,5.66666666666667,17.3333333333333,10.1111111111111,51.1111111111111,51,15.2222222222222,"50 to 74%","0 to 24%"
"Southern Illinois University-Edwardsville",2014,11421,NA,"10,000 - 19,999","Four or more years","Suburb",11384.4444444444,14,1.88888888888889,4,74.1111111111111,53,85.4444444444444,"50 to 74%","75 to 100%"
"Trinity Christian College",2014,1337,NA,"1,000 - 4,999","Four or more years","Suburb",1286.33333333333,9,1.33333333333333,10.4444444444444,69.1111111111111,66,81.7777777777778,"50 to 74%","75 to 100%"
"Indiana University-Kokomo",2014,4004,NA,"1,000 - 4,999","Four or more years","City",3495.22222222222,4.11111111111111,1,4.22222222222222,81.7777777777778,65,71.8888888888889,"50 to 74%","50 to 74%"
"Baker University",2014,1848,NA,"1,000 - 4,999","Four or more years","Town",1893.33333333333,9,1.44444444444444,5.55555555555556,74,56,79.6666666666667,"50 to 74%","50 to 74%"
"Concorde Career College-Kansas City",2014,590,NA,"Under 1,000","Four or more years","City",616.777777777778,31.4444444444444,1.88888888888889,10.3333333333333,46.3333333333333,90,94.4444444444444,"75 to 100%","75 to 100%"
"Kansas Wesleyan University",2014,667,NA,"Under 1,000","Four or more years","Town",711.444444444444,9.77777777777778,0.777777777777778,13.1111111111111,70.1111111111111,50,54.5555555555556,"50 to 74%","50 to 74%"
"Manhattan Christian College",2014,311,NA,"Under 1,000","Four or more years","City",317.111111111111,4.88888888888889,0.111111111111111,5.22222222222222,69.4444444444444,43,63.8333333333333,"25 to 49%","50 to 74%"
"Kentucky Mountain Bible College",2014,84,NA,"Under 1,000","Four or more years","Rural",79.7777777777778,1.77777777777778,0.111111111111111,1.22222222222222,90.7777777777778,46,54.1111111111111,"25 to 49%","50 to 74%"
"University of Kentucky",2014,22223,NA,"20,000 and above","Four or more years","City",21600.4444444444,7.44444444444444,2.44444444444444,3.55555555555556,77.4444444444444,52,80.2222222222222,"50 to 74%","50 to 74%"
"Murray State University",2014,9444,NA,"10,000 - 19,999","Four or more years","Town",8817.33333333333,6.66666666666667,1,1.77777777777778,82.1111111111111,59,82.5555555555556,"50 to 74%","75 to 100%"
"Spalding University",2014,1312,NA,"1,000 - 4,999","Four or more years","Suburb",1285.55555555556,21.5555555555556,1.44444444444444,3.44444444444444,60.6666666666667,71,55.6666666666667,"50 to 74%","25 to 49%"
"Dillard University",2014,1200,NA,"1,000 - 4,999","Four or more years","City",1241.22222222222,90.7777777777778,0,0.555555555555556,0.222222222222222,73,43.3333333333333,"50 to 74%","25 to 49%"
"Grambling State University",2014,3524,NA,"1,000 - 4,999","Four or more years","Town",4069.11111111111,89.2222222222222,0,1.11111111111111,1.33333333333333,59,48.5555555555556,"50 to 74%","25 to 49%"
"Nicholls State University",2014,5690,NA,"5,000 - 9,999","Four or more years","City",5865.44444444444,19.5555555555556,1,3,68.3333333333333,63,87.7777777777778,"50 to 74%","75 to 100%"
"Unity College",2014,601,NA,"Under 1,000","Four or more years","Rural",631.555555555556,0.888888888888889,1,2,89.6666666666667,52,86.2222222222222,"50 to 74%","75 to 100%"
"Capitol Technology University",2014,417,NA,"Under 1,000","Four or more years","Suburb",416.777777777778,33.5555555555556,4.88888888888889,8.44444444444444,41.6666666666667,19,73.3333333333333,"0 to 24%","50 to 74%"
"St. Mary's College of Maryland",2014,1688,NA,"1,000 - 4,999","Four or more years","Suburb",1753.33333333333,8.22222222222222,3.22222222222222,6.33333333333333,73.2222222222222,58,72.7777777777778,"50 to 74%","75 to 100%"
"Towson University",2014,18807,NA,"20,000 and above","Four or more years","City",18697.8888888889,16.7777777777778,5,5.77777777777778,62.4444444444444,60,65,"50 to 74%","50 to 74%"
"Anna Maria College",2014,1108,NA,"1,000 - 4,999","Four or more years","Rural",1093.22222222222,9.88888888888889,1.44444444444444,8.77777777777778,68,56,73.6666666666667,"50 to 74%","75 to 100%"
"Bay Path University",2014,1584,NA,"1,000 - 4,999","Four or more years","Suburb",1705,12.7777777777778,1.77777777777778,16.4444444444444,56.4444444444444,100,62.7777777777778,"75 to 100%","50 to 74%"
"Laboure College",2014,757,NA,"Under 1,000","Four or more years","Suburb",766.555555555556,27.2222222222222,2.66666666666667,7.88888888888889,55.7777777777778,90,53.7777777777778,"75 to 100%","75 to 100%"
"Curry College",2014,2900,NA,"1,000 - 4,999","Four or more years","Suburb",2688.11111111111,9.22222222222222,1.88888888888889,5.55555555555556,66.6666666666667,61,81,"50 to 74%","75 to 100%"
"Fitchburg State University",2014,4204,NA,"5,000 - 9,999","Four or more years","Suburb",4196.66666666667,7.11111111111111,2.22222222222222,9.33333333333333,74.7777777777778,54,73.6666666666667,"50 to 74%","50 to 74%"
"Hampshire College",2014,1376,NA,"1,000 - 4,999","Four or more years","Suburb",1394.22222222222,4.55555555555556,2.22222222222222,10.1111111111111,64.7777777777778,60,65.4444444444444,"50 to 74%","50 to 74%"
"University of Massachusetts-Boston",2014,12700,NA,"10,000 - 19,999","Four or more years","City",12421.5555555556,15.4444444444444,12,12.5555555555556,39.1111111111111,55,68.7777777777778,"50 to 74%","50 to 74%"
"Merrimack College",2014,3033,NA,"1,000 - 4,999","Four or more years","Suburb",2957.66666666667,2.88888888888889,1.55555555555556,6.33333333333333,72.2222222222222,50,80.6666666666667,"50 to 74%","75 to 100%"
"Mount Holyoke College",2014,2189,NA,"1,000 - 4,999","Four or more years","Suburb",2235.77777777778,5.22222222222222,8.66666666666667,7.88888888888889,46.2222222222222,100,50.1111111111111,"75 to 100%","50 to 74%"
"Massachusetts College of Liberal Arts",2014,1562,NA,"1,000 - 4,999","Four or more years","Town",1519.88888888889,8.44444444444444,1.55555555555556,7.11111111111111,75,61,72.2222222222222,"50 to 74%","50 to 74%"
"Northeastern University",2014,13510,NA,"10,000 - 19,999","Four or more years","City",14920.8888888889,4.11111111111111,10.7777777777778,6.66666666666667,47.7777777777778,51,30.2222222222222,"50 to 74%","25 to 49%"
"Smith College",2014,2563,NA,"1,000 - 4,999","Four or more years","Suburb",2562.55555555556,5.55555555555556,11.6666666666667,9.44444444444444,45.6666666666667,100,39.7777777777778,"75 to 100%","25 to 49%"
"Ferris State University",2014,13373,NA,"10,000 - 19,999","Four or more years","Town",13029.7777777778,7,1.44444444444444,4.22222222222222,78.6666666666667,52,74.1111111111111,"50 to 74%","75 to 100%"
"Martin Luther College",2014,783,NA,"Under 1,000","Four or more years","Town",805.888888888889,0.888888888888889,0.666666666666667,0.888888888888889,94.3333333333333,51,89.1111111111111,"50 to 74%","75 to 100%"
"Macalester College",2014,2073,NA,"1,000 - 4,999","Four or more years","City",2094.22222222222,2.88888888888889,6.88888888888889,6.33333333333333,64.8888888888889,60,38.1111111111111,"50 to 74%","25 to 49%"
"Minnesota State University-Mankato",2014,13395,NA,"10,000 - 19,999","Four or more years","City",13246.6666666667,4.66666666666667,3.22222222222222,3.66666666666667,77.3333333333333,52,69.6666666666667,"50 to 74%","50 to 74%"
"Metropolitan State University",2014,7595,NA,"5,000 - 9,999","Four or more years","City",7401.11111111111,17.5555555555556,12.5555555555556,5.22222222222222,56.6666666666667,57,89.6666666666667,"50 to 74%","75 to 100%"
"North Central University",2014,1083,NA,"1,000 - 4,999","Four or more years","City",1206,3.77777777777778,1.77777777777778,5.44444444444444,70.5555555555556,57,80.4444444444444,"50 to 74%","75 to 100%"
"College of Saint Benedict",2014,2020,NA,"1,000 - 4,999","Four or more years","Suburb",1992.11111111111,2.22222222222222,5.55555555555556,5.33333333333333,81,100,79.4444444444444,"75 to 100%","75 to 100%"
"Saint Mary's University of Minnesota",2014,1904,NA,"5,000 - 9,999","Four or more years","Town",1809.88888888889,6.11111111111111,2.22222222222222,5.44444444444444,59.2222222222222,54,75.8888888888889,"50 to 74%","50 to 74%"
"Cox College",2014,744,NA,"Under 1,000","Four or more years","City",745.666666666667,1.77777777777778,1.55555555555556,1.66666666666667,91,87,75.2222222222222,"75 to 100%","50 to 74%"
"Conception Seminary College",2014,93,NA,"Under 1,000","Four or more years","Rural",94.3333333333333,0.888888888888889,7.11111111111111,17,70.4444444444444,2,97.3333333333333,"0 to 24%","75 to 100%"
"Cottey College",2014,269,NA,"Under 1,000","Four or more years","Town",291.444444444444,5.11111111111111,1.11111111111111,9.33333333333333,66.2222222222222,100,64.5555555555556,"75 to 100%","50 to 74%"
"University of Missouri-Columbia",2014,27642,NA,"20,000 and above","Four or more years","City",25811.8888888889,7.77777777777778,2.22222222222222,3.44444444444444,79.3333333333333,52,78.7777777777778,"50 to 74%","75 to 100%"
"Southwest Baptist University",2014,2952,NA,"1,000 - 4,999","Four or more years","Town",2907,4.55555555555556,0.888888888888889,1.77777777777778,72.5555555555556,64,82.5555555555556,"50 to 74%","50 to 74%"
"William Woods University",2014,1006,NA,"1,000 - 4,999","Four or more years","Town",1008,4.22222222222222,0.777777777777778,2.33333333333333,81,73,74.6666666666667,"50 to 74%","75 to 100%"
"Rocky Mountain College",2014,915,NA,"1,000 - 4,999","Four or more years","City",937.666666666667,2.44444444444444,1,4.44444444444444,79.6666666666667,49,63.7777777777778,"25 to 49%","50 to 74%"
"Creighton University",2014,4065,NA,"5,000 - 9,999","Four or more years","City",4177.66666666667,2.66666666666667,9.33333333333333,7,72.4444444444444,58,74.2222222222222,"50 to 74%","50 to 74%"
"Nebraska Methodist College of Nursing & Allied Health",2014,747,NA,"1,000 - 4,999","Four or more years","City",761.888888888889,3.88888888888889,1.77777777777778,3.66666666666667,84.3333333333333,90,51.3333333333333,"75 to 100%","75 to 100%"
"York College",2014,402,NA,"Under 1,000","Four or more years","Town",440.111111111111,13.1111111111111,1.44444444444444,13,64.7777777777778,45,54,"25 to 49%","25 to 49%"
"Southern New Hampshire University",2014,29353,NA,"20,000 and above","Four or more years","City",35873.1111111111,7.66666666666667,0.888888888888889,4.55555555555556,39.4444444444444,61,83.25,"50 to 74%","75 to 100%"
"Centenary University",2014,1612,NA,"1,000 - 4,999","Four or more years","Suburb",1646.66666666667,11,1.66666666666667,9.33333333333333,58.7777777777778,62,85.3333333333333,"50 to 74%","75 to 100%"
"New Mexico State University-Main Campus",2014,12784,NA,"10,000 - 19,999","Four or more years","Suburb",13102,2.88888888888889,1.11111111111111,53.6666666666667,30.4444444444444,54,74,"50 to 74%","50 to 74%"
"Adelphi University",2014,5071,NA,"5,000 - 9,999","Four or more years","Suburb",5098.66666666667,10,8.44444444444444,13.7777777777778,53.1111111111111,69,70.4444444444444,"50 to 74%","50 to 74%"
"Albany College of Pharmacy and Health Sciences",2014,1080,NA,"1,000 - 4,999","Four or more years","City",1010.22222222222,3.88888888888889,15.2222222222222,4.33333333333333,63.8888888888889,60,68.5555555555556,"50 to 74%","50 to 74%"
"Barnard College",2014,2573,NA,"1,000 - 4,999","Four or more years","City",2506.44444444444,5.66666666666667,15.2222222222222,11,56.4444444444444,100,20.7777777777778,"75 to 100%","0 to 24%"
"Cazenovia College",2014,1091,NA,"1,000 - 4,999","Four or more years","Town",1018.88888888889,8.33333333333333,1.33333333333333,4.88888888888889,67.7777777777778,73,78.8888888888889,"50 to 74%","75 to 100%"
"Concordia College-New York",2014,944,NA,"1,000 - 4,999","Four or more years","Suburb",942.444444444444,17.5555555555556,3.11111111111111,20.8888888888889,38.6666666666667,68,72.6666666666667,"50 to 74%","75 to 100%"
"CUNY Lehman College",2014,10326,NA,"10,000 - 19,999","Four or more years","City",10692.2222222222,28.1111111111111,5.88888888888889,54.1111111111111,7.66666666666667,68,28.2222222222222,"50 to 74%","25 to 49%"
"Daemen College",2014,2045,NA,"1,000 - 4,999","Four or more years","Suburb",2023.88888888889,12.6666666666667,2.22222222222222,5.66666666666667,73,72,53.5555555555556,"50 to 74%","50 to 74%"
"Hamilton College",2014,1904,NA,"1,000 - 4,999","Four or more years","Rural",1900.55555555556,4.11111111111111,7.22222222222222,7.44444444444444,63.7777777777778,52,25.7777777777778,"50 to 74%","25 to 49%"
"Hilbert College",2014,960,NA,"1,000 - 4,999","Four or more years","Suburb",925.888888888889,8,0.222222222222222,3.11111111111111,70.4444444444444,56,79.7777777777778,"50 to 74%","75 to 100%"
"Ithaca College",2014,6124,NA,"5,000 - 9,999","Four or more years","Suburb",6229,4.88888888888889,3.55555555555556,7.22222222222222,71.1111111111111,57,67.2222222222222,"50 to 74%","50 to 74%"
"Molloy College",2014,3336,NA,"1,000 - 4,999","Four or more years","Suburb",3423.44444444444,12.3333333333333,7.22222222222222,14.3333333333333,61.3333333333333,75,72.6666666666667,"75 to 100%","75 to 100%"
"St Bonaventure University",2014,1774,NA,"1,000 - 4,999","Four or more years","Town",1802.66666666667,5.11111111111111,3.44444444444444,6,68.7777777777778,50,73.6666666666667,"50 to 74%","50 to 74%"
"St John's University-New York",2014,15762,NA,"20,000 and above","Four or more years","City",16126,14.2222222222222,14.7777777777778,13.5555555555556,42.6666666666667,56,58.1111111111111,"50 to 74%","50 to 74%"
"Binghamton University",2014,13412,NA,"10,000 - 19,999","Four or more years","Suburb",13032.6666666667,5,13.5555555555556,9.88888888888889,54,48,40.4444444444444,"25 to 49%","25 to 49%"
"SUNY Polytechnic Institute",2014,2037,NA,"1,000 - 4,999","Four or more years","Suburb",2004.77777777778,6.44444444444444,4,6.44444444444444,78.4444444444444,40,51.7777777777778,"25 to 49%","50 to 74%"
"SUNY Buffalo State",2014,9475,NA,"10,000 - 19,999","Four or more years","City",9199.11111111111,23.4444444444444,2.44444444444444,10,53.2222222222222,57,54.2222222222222,"50 to 74%","50 to 74%"
"SUNY Maritime College",2014,1641,NA,"1,000 - 4,999","Four or more years","City",1638,4.22222222222222,4.11111111111111,10,70,11,62.7777777777778,"0 to 24%","50 to 74%"
"Syracuse University",2014,15224,NA,"20,000 and above","Four or more years","City",14987,8,7.88888888888889,9.66666666666667,55.8888888888889,55,51,"50 to 74%","50 to 74%"
"Trocaire College",2014,1467,NA,"1,000 - 4,999","Four or more years","City",1462.77777777778,15.1111111111111,1.66666666666667,4,68.7777777777778,86,60.5714285714286,"75 to 100%","50 to 74%"
"Vassar College",2014,2421,NA,"1,000 - 4,999","Four or more years","Suburb",2422.66666666667,5,10.5555555555556,10.6666666666667,60.2222222222222,57,24.4444444444444,"50 to 74%","0 to 24%"
"Belmont Abbey College",2014,1560,NA,"1,000 - 4,999","Four or more years","Suburb",1609.66666666667,22.7777777777778,1.22222222222222,2.11111111111111,43.7777777777778,56,75.5555555555556,"50 to 74%","50 to 74%"
"East Carolina University",2014,22252,NA,"20,000 and above","Four or more years","City",22294.8888888889,15.8888888888889,2.55555555555556,5.11111111111111,69.3333333333333,58,70.7777777777778,"50 to 74%","75 to 100%"
"Greensboro College",2014,879,NA,"Under 1,000","Four or more years","City",995.555555555556,29,1,3,53.3333333333333,50,54,"50 to 74%","50 to 74%"
"Guilford College",2014,2137,NA,"1,000 - 4,999","Four or more years","City",2159.44444444444,24.2222222222222,3.55555555555556,5.88888888888889,59.4444444444444,55,67.3333333333333,"50 to 74%","50 to 74%"
"Meredith College",2014,1645,NA,"1,000 - 4,999","Four or more years","City",1673.44444444444,10.2222222222222,2.77777777777778,4.55555555555556,72.2222222222222,100,62.6666666666667,"75 to 100%","50 to 74%"
"Winston-Salem State University",2014,4793,NA,"5,000 - 9,999","Four or more years","City",5043.66666666667,74.7777777777778,1,2.44444444444444,15,71,60.5555555555556,"50 to 74%","50 to 74%"
"Herzing University-Akron",2014,318,NA,"Under 1,000","Four or more years","Suburb",485.888888888889,31.4444444444444,0.333333333333333,1.55555555555556,49.1111111111111,82,91.5555555555556,"75 to 100%","75 to 100%"
"Art Academy of Cincinnati",2014,201,NA,"Under 1,000","Four or more years","City",201.222222222222,8.44444444444444,1.66666666666667,4,81.3333333333333,64,30.7777777777778,"50 to 74%","0 to 24%"
"Cleveland Institute of Music",2014,238,NA,"Under 1,000","Four or more years","City",239.222222222222,1,6,0.777777777777778,30.2222222222222,50,43,"50 to 74%","25 to 49%"
"University of Dayton",2014,8529,NA,"10,000 - 19,999","Four or more years","City",8248.22222222222,3.22222222222222,1,3.55555555555556,80.5555555555556,48,64.5555555555556,"25 to 49%","50 to 74%"
"Mount Carmel College of Nursing",2014,927,NA,"1,000 - 4,999","Four or more years","City",876.888888888889,7.11111111111111,1.44444444444444,1.33333333333333,86.1111111111111,90,76.2222222222222,"75 to 100%","50 to 74%"
"University of Toledo",2014,16090,NA,"20,000 and above","Four or more years","City",16622.2222222222,13.3333333333333,2,4.66666666666667,68.3333333333333,49,93.5,"25 to 49%","75 to 100%"
"Ursuline College",2014,706,NA,"1,000 - 4,999","Four or more years","Suburb",768.666666666667,25.6666666666667,1.22222222222222,2.33333333333333,62.7777777777778,92,76.4444444444444,"75 to 100%","50 to 74%"
"Spartan College of Aeronautics and Technology",2014,849,NA,"Under 1,000","Four or more years","City",674.238095238095,8.04761904761905,2.85714285714286,16.2380952380952,51.6666666666667,7,87.8,"0 to 24%","75 to 100%"
"Oklahoma Christian University",2014,1968,NA,"1,000 - 4,999","Four or more years","City",1931.22222222222,6.66666666666667,4.22222222222222,5.44444444444444,76.3333333333333,49,58.4444444444444,"25 to 49%","50 to 74%"
"Reed College",2014,1374,NA,"1,000 - 4,999","Four or more years","City",1430.55555555556,2.11111111111111,6.11111111111111,9.44444444444444,58.4444444444444,54,38.2222222222222,"50 to 74%","25 to 49%"
"Bryn Mawr College",2014,1308,NA,"1,000 - 4,999","Four or more years","Suburb",1330.22222222222,5.44444444444444,12.2222222222222,9.11111111111111,36.8888888888889,100,40.6666666666667,"75 to 100%","25 to 49%"
"Dickinson College",2014,2364,NA,"1,000 - 4,999","Four or more years","City",2397.55555555556,4.11111111111111,2.88888888888889,6.55555555555556,72,57,45.5555555555556,"50 to 74%","25 to 49%"
"Edinboro University of Pennsylvania",2014,5595,NA,"5,000 - 9,999","Four or more years","Town",5427,7.44444444444444,1,2.88888888888889,83.3333333333333,58,82.5555555555556,"50 to 74%","75 to 100%"
"Lancaster Bible College",2014,1407,NA,"1,000 - 4,999","Four or more years","Suburb",1360.11111111111,18.3333333333333,1.22222222222222,2.77777777777778,60.8888888888889,50,65.6666666666667,"50 to 74%","50 to 74%"
"Lock Haven University",2014,4521,NA,"1,000 - 4,999","Four or more years","Town",4342.88888888889,8.22222222222222,1,2.22222222222222,85,57,83.2222222222222,"50 to 74%","75 to 100%"
"Lycoming College",2014,1353,NA,"1,000 - 4,999","Four or more years","City",1287.88888888889,7.77777777777778,0.888888888888889,5.88888888888889,72.6666666666667,54,69,"50 to 74%","50 to 74%"
"Moore College of Art and Design",2014,412,NA,"Under 1,000","Four or more years","City",424,17.1111111111111,3.22222222222222,6,62,100,61.1111111111111,"75 to 100%","50 to 74%"
"Pennsylvania State University-Penn State Beaver",2014,720,NA,"Under 1,000","Four or more years","Suburb",740.666666666667,9,2.33333333333333,4.22222222222222,73.1111111111111,42,83.5555555555556,"25 to 49%","75 to 100%"
"Pennsylvania State University-Penn State Fayette- Eberly",2014,717,NA,"Under 1,000","Four or more years","Rural",784.666666666667,4,0.777777777777778,2,86.7777777777778,57,85.3333333333333,"50 to 74%","75 to 100%"
"Pennsylvania State University-Penn State Hazleton",2014,850,NA,"Under 1,000","Four or more years","Suburb",940.111111111111,12.1111111111111,3.33333333333333,16.2222222222222,61.5555555555556,46,87.4444444444444,"25 to 49%","75 to 100%"
"Pennsylvania State University-Penn State Schuylkill",2014,796,NA,"Under 1,000","Four or more years","Town",825.444444444444,20.2222222222222,1.77777777777778,6.55555555555556,64.6666666666667,58,78.2222222222222,"50 to 74%","75 to 100%"
"Jefferson (Philadelphia University + Thomas Jefferson University)",2014,2911,NA,"1,000 - 4,999","Four or more years","City",2838.375,13.75,4.625,7.25,59.5,66,66.125,"50 to 74%","50 to 74%"
"Bob Jones University",2014,2725,NA,"1,000 - 4,999","Four or more years","City",2835.55555555556,1.33333333333333,2.22222222222222,5.33333333333333,76.5555555555556,56,83.5,"50 to 74%","75 to 100%"
"Citadel Military College of South Carolina",2014,2763,NA,"1,000 - 4,999","Four or more years","City",2694.55555555556,9,2.22222222222222,6.11111111111111,77.2222222222222,10,76.6666666666667,"0 to 24%","75 to 100%"
"University of South Carolina-Beaufort",2014,1794,NA,"1,000 - 4,999","Four or more years","Town",1905.77777777778,20.2222222222222,1.11111111111111,6.44444444444444,62.6666666666667,64,67.3333333333333,"50 to 74%","50 to 74%"
"Black Hills State University",2014,4020,NA,"1,000 - 4,999","Four or more years","Town",3935.77777777778,1.33333333333333,0.777777777777778,4.11111111111111,83.6666666666667,63,88.4444444444444,"50 to 74%","75 to 100%"
"Dakota State University",2014,2736,NA,"1,000 - 4,999","Four or more years","Town",2854.66666666667,3.33333333333333,1.44444444444444,3.33333333333333,85,47,85.4444444444444,"25 to 49%","75 to 100%"
"Bryan College-Dayton",2014,1506,NA,"1,000 - 4,999","Four or more years","Town",1371.88888888889,4.55555555555556,0.666666666666667,2.33333333333333,83.2222222222222,54,49,"50 to 74%","25 to 49%"
"Cumberland University",2014,1254,NA,"1,000 - 4,999","Four or more years","Town",1462,11.2222222222222,1.11111111111111,3,65.7777777777778,57,51,"50 to 74%","25 to 49%"
"Lee University",2014,4574,NA,"1,000 - 4,999","Four or more years","City",4537.22222222222,5,1,3.22222222222222,76.7777777777778,59,82.3333333333333,"50 to 74%","75 to 100%"
"The University of the South",2014,1631,NA,"1,000 - 4,999","Four or more years","Rural",1614.77777777778,4.44444444444444,1.88888888888889,4.55555555555556,82.3333333333333,52,56,"50 to 74%","50 to 74%"
"Tennessee Technological University",2014,10314,NA,"10,000 - 19,999","Four or more years","Town",9698.77777777778,4,1.33333333333333,2.44444444444444,83.1111111111111,45,82.8888888888889,"25 to 49%","75 to 100%"
"East Texas Baptist University",2014,1231,NA,"1,000 - 4,999","Four or more years","Town",1281.22222222222,19.1111111111111,0.444444444444444,10.5555555555556,64.6666666666667,53,56.7777777777778,"50 to 74%","50 to 74%"
"Hardin-Simmons University",2014,1630,NA,"1,000 - 4,999","Four or more years","City",1763.33333333333,6.77777777777778,1.77777777777778,15,67.7777777777778,53,61.6666666666667,"50 to 74%","50 to 74%"
"Midwestern State University",2014,5144,NA,"5,000 - 9,999","Four or more years","City",5339.88888888889,13.7777777777778,3,15.4444444444444,55.3333333333333,58,69.6666666666667,"50 to 74%","50 to 74%"
"Rice University",2014,3926,NA,"5,000 - 9,999","Four or more years","City",3868.77777777778,6.77777777777778,22.7777777777778,14,38.2222222222222,48,16.3333333333333,"25 to 49%","0 to 24%"
"Saint Edward's University",2014,4003,NA,"1,000 - 4,999","Four or more years","City",4115.55555555556,4,2.66666666666667,38.2222222222222,41.7777777777778,61,74.2222222222222,"50 to 74%","75 to 100%"
"Texas A & M University-College Station",2014,47093,NA,"20,000 and above","Four or more years","City",46309.4444444444,3,5.77777777777778,20.4444444444444,66.1111111111111,48,68,"25 to 49%","50 to 74%"
"Texas Woman's University",2014,9680,NA,"10,000 - 19,999","Four or more years","City",9552.22222222222,19.5555555555556,8.11111111111111,25.2222222222222,42.1111111111111,89,86.7777777777778,"75 to 100%","75 to 100%"
"Hampton University",2014,3503,NA,"1,000 - 4,999","Four or more years","City",3828,93.6666666666667,0.555555555555556,1,2.77777777777778,65,43.2222222222222,"50 to 74%","25 to 49%"
"James Madison University",2014,19144,NA,"20,000 and above","Four or more years","City",18897.8888888889,4.33333333333333,4.44444444444444,5.11111111111111,77,59,67,"50 to 74%","50 to 74%"
"Sweet Briar College",2014,691,NA,"Under 1,000","Four or more years","Suburb",549.444444444444,8.11111111111111,2.55555555555556,7.88888888888889,73.8888888888889,97,86.6666666666667,"75 to 100%","75 to 100%"
"Cornish College of the Arts",2014,765,NA,"Under 1,000","Four or more years","City",741.555555555556,3.44444444444444,5.66666666666667,10,63.8888888888889,65,68.7777777777778,"50 to 74%","75 to 100%"
"The Evergreen State College",2014,3878,NA,"1,000 - 4,999","Four or more years","Suburb",3933.44444444444,4.88888888888889,2.77777777777778,8.55555555555556,66.5555555555556,55,96.6666666666667,"50 to 74%","75 to 100%"
"Seattle Pacific University",2014,3264,NA,"1,000 - 4,999","Four or more years","City",3144.77777777778,4,10.5555555555556,9.11111111111111,62.4444444444444,67,81.2222222222222,"50 to 74%","75 to 100%"
"Seattle University",2014,4437,NA,"5,000 - 9,999","Four or more years","City",4592.66666666667,3.44444444444444,16.1111111111111,9.77777777777778,46.3333333333333,60,72.8888888888889,"50 to 74%","50 to 74%"
"University of Charleston",2014,1549,NA,"1,000 - 4,999","Four or more years","City",1483.44444444444,10,1,2.33333333333333,57.4444444444444,53,57.3333333333333,"50 to 74%","50 to 74%"
"Glenville State College",2014,1802,NA,"1,000 - 4,999","Four or more years","Town",1760.88888888889,14.1111111111111,0.333333333333333,1.44444444444444,78.3333333333333,43,72.2857142857143,"25 to 49%","25 to 49%"
"Wheeling Jesuit University",2014,1187,NA,"1,000 - 4,999","Four or more years","City",1025.22222222222,6.11111111111111,1,2.22222222222222,75.1111111111111,53,70.3333333333333,"50 to 74%","50 to 74%"
"Carroll University",2014,3015,NA,"1,000 - 4,999","Four or more years","City",3073.77777777778,1.55555555555556,3,6.22222222222222,83.2222222222222,65,78.4444444444444,"50 to 74%","75 to 100%"
"Edgewood College",2014,1935,NA,"1,000 - 4,999","Four or more years","City",1819.88888888889,2.88888888888889,2.55555555555556,5.55555555555556,80,71,74.5555555555556,"50 to 74%","75 to 100%"
"Maranatha Baptist University",2014,947,NA,"1,000 - 4,999","Four or more years","Town",906.333333333333,1.11111111111111,1.22222222222222,2.66666666666667,77.8888888888889,55,71.6666666666667,"50 to 74%","75 to 100%"
"Silver Lake College of the Holy Family",2014,436,NA,"Under 1,000","Four or more years","Town",429.666666666667,10,2.11111111111111,5,66.1111111111111,67,55.1111111111111,"50 to 74%","25 to 49%"
